SEGMENT_VALUE,DESCRIPTION
00003,UK
600,China
000,Default
00014,Int Baseball
000,Default
101,NY
102,MA
1XX,Americas
00012,Int Real
1012,General Anaesthesiology
1023,Neonatal Intensive Care
1035,Prosthodontics
1085,Adult Nephrology
1088,Adult Rheumatology​ 
1195,Plastic Surgery
1199,Organ Transplant
1200,Neurosurgery
2021,Physical Therapy
2123,Autopsy
2126,Blood Bank
10008,Project 00008
10014,Project 00014
3211,AAR Growing -US
3211,Avula Growing -US
3221,Avula Harvesting -US
3999,Avula USA HQ
10001,US CO1
10004,US CO4
3999,NW Consulting Limited
4888,NW Americas Consulting Limited
110106,MUMBAI
10002,Tech Project
00000,Default
700,Peru
Vehicles,Vehicles
0000,Future Value 1
000,Default Future2
3888,USA LE
4888,India LE
302,FL
320,Global Ltda (Brazil)
3XX,LATAM
00011,Int Casino
00013,Int Hockey
1033,Periodontics
1041,Dermatology
1051,Emergency Medicine
1092,Sleep Medicine
1162,Pediatric Urology
1164,Pediatric Cardiology
1191,Endocrine and Breast Surgery
1196,Orthopedic Surgery
2111,Community Medicine
10011,Project 00011
10015,Project 00015
3121,AAR Sales -US Napa
3311,Avula Plant Operations -US
4888,Avula Stocking -Canada Ltd.
10003,US CO3
115,Electrical Equipment
9999,Default
110103,GURGAON
10002,Tech Project
200,Canada
800,Brazil
900,Ecuador
000,NO ASL
21,Test Company 2
301,GA
500,Global Limited (UK)
7XX,APAC
3251,ZZ01 InFusion Cupertino Cherries
4999,ZZ01 InFusion Shipping -Canada Ltd.
1001,T-Legal Entity
1081,Neurology
1102,Adult psychiatry
1111,Labor and Delivery
1152,Pediatric Anesthesia
1157,Pediatric Hematology
1158,Pediatric Infectious Disease
1181,Interventional radiology
1192,Gastric and Bariatric Surgery
2081,Infection Control and Hospital Epidemiology
2124,Virology
10010,Project 00010
10016,Project 00016
3999,AAR USA HQ
4999,AAR Shipping -Canada Ltd.
3121,Avula Sales -US Napa
3331,Avula Shipping -US
111,Construction
112,Execution
114,Transmission Equipment
500,Chile
Training,Training
010,FIRE
8001,Average Balances - Branch
9999,Common
103,NJ
403,OR
3111,ZZ01 InFusion Marketing - US Napa
1011,Pain Medicine
1083,Adult Gastroenterology
1091,Adult Hematology
1101,Child and Adolescent Psychiatry​​
1121,Ophthalmology
1154,Pediatric Emergency
1182,MRI
1201,Thoracic Surgery
2031,Respiratory Care Services
2051,Medical Genetics
2061,Ambulatory Pharmacy 
2063,Outpatient Pharmacy 
2101,Social Work
2127,Histopathology
10001,Project 00001
10009,Apps2fusion - Data Analytics Project
10012,Project 00012
3241,AAR Stockton Citrus
3251,AAR Cupertino Cherries
3241,Avula Stockton Citrus
3888,Avula USA Corporation
10008,UK CO4
10010,CA CO2
110102,FARIDABAD
00001,USA
Exhibition,Exhibition
